Date,State,Civilian noninstitutional population,Total,Percent of Population,Employed Total,Employed Percent of Population,Unemployed Total,Unemployed Percent of Labor Force
7/1/21,Tennessee,5497845,3333802,60.6,3175465,57.8,158337,4.7
7/1/21,Texas,22641284,14105493,62.3,13228816,58.4,876677,6.2
7/1/21,Utah,2450926,1662442,67.8,1619007,66.1,43435,2.6
7/1/21,Vermont,518951,316149,60.9,306524,59.1,9625,3
7/1/21,Virginia,6752073,4241771,62.8,4065578,60.2,176193,4.2
7/1/21,Washington,6168817,3906287,63.3,3707080,60.1,199207,5.1
7/1/21,West Virginia,1436659,793063,55.2,753130,52.4,39933,5
7/1/21,Wisconsin,4672898,3104354,66.4,2982792,63.8,121562,3.9
7/1/21,Wyoming,457723,295672,64.6,280242,61.2,15430,5.2
8/1/21,Alabama,3899874,2207602,56.6,2138588,54.8,69014,3.1
8/1/21,Alaska,544142,349367,64.2,326860,60.1,22507,6.4
8/1/21,Arizona,6009634,3637679,60.5,3412518,56.8,225161,6.2
8/1/21,Arkansas,2373561,1357416,57.2,1300190,54.8,57226,4.2
8/1/21,California,39075539,24081656,61.6,22133157,56.6,1948499,8.1
8/1/21,Colorado,4677986,3193194,68.3,3004247,64.2,188947,5.9
8/1/21,Connecticut,2876033,1810194,62.9,1680308,58.4,129886,7.2
8/1/21,Delaware,801874,488914,61,462543,57.7,26371,5.4
8/1/21,District of Columbia,585145,409695,70,382110,65.3,27585,6.7
8/1/21,Florida,17867608,10543063,59,10013490,56,529573,5
8/1/21,Georgia,8393776,5174216,61.6,4992625,59.5,181591,3.5
8/1/21,Hawaii,1079257,647340,60,601782,55.8,45558,7
8/1/21,Idaho,1448462,904921,62.5,878366,60.6,26555,2.9
8/1/21,Illinois,9907145,6217605,62.8,5781656,58.4,435949,7
8/1/21,Indiana,5300284,3342971,63.1,3205534,60.5,137437,4.1
8/1/21,Iowa,2484587,1660533,66.8,1592528,64.1,68005,4.1
