Date,State,Civilian noninstitutional population,Total,Percent of Population,Employed Total,Employed Percent of Population,Unemployed Total,Unemployed Percent of Labor Force
9/1/21,Indiana,5303076,3341532,63,3206690,60.5,134842,4
9/1/21,Iowa,2485391,1660470,66.8,1594365,64.1,66105,4
9/1/21,Kansas,2241517,1514766,67.6,1455727,64.9,59039,3.9
9/1/21,Kentucky,3520233,1987352,56.5,1902645,54,84707,4.3
9/1/21,Louisiana,3574859,2062162,57.7,1942013,54.3,120149,5.8
9/1/21,Maine,1124621,679310,60.4,646364,57.5,32946,4.8
9/1/21,Maryland,4773310,3143066,65.8,2957475,62,185591,5.9
9/1/21,Massachusetts,5642362,3720746,65.9,3527888,62.5,192858,5.2
9/1/21,Michigan,7995169,4738080,59.3,4517790,56.5,220290,4.6
9/1/21,Minnesota,4471935,3034729,67.9,2923759,65.4,110970,3.7
9/1/21,Mississippi,2286412,1275285,55.8,1201303,52.5,73982,5.8
9/1/21,Missouri,4858443,3069979,63.2,2951869,60.8,118110,3.8
9/1/21,Montana,873824,541232,61.9,523116,59.9,18116,3.3
9/1/21,Nebraska,1495110,1022921,68.4,1002234,67,20687,2
9/1/21,Nevada,2536317,1562609,61.6,1445307,57,117302,7.5
9/1/21,New Hampshire,1138138,749678,65.9,727802,63.9,21876,2.9
9/1/21,New Jersey,7067929,4432054,62.7,4116334,58.2,315720,7.1
9/1/21,New Mexico,1666680,951929,57.1,886344,53.2,65585,6.9
9/1/21,New York,22034540,13305524,60.4,12251825,55.6,1053699,7.9
9/1/21,North Carolina,8482043,5021894,59.2,4810394,56.7,211500,4.2
9/1/21,North Dakota,586928,402027,68.5,387998,66.1,14029,3.5
9/1/21,Ohio,9268896,5661313,61.1,5357969,57.8,303344,5.4
9/1/21,Oklahoma,3079326,1860980,60.4,1805858,58.6,55122,3
9/1/21,Oregon,3477896,2169686,62.4,2067612,59.5,102074,4.7
9/1/21,Pennsylvania,10272754,6276837,61.1,5886464,57.3,390373,6.2
9/1/21,Rhode Island,864433,577228,66.8,547116,63.3,30112,5.2
9/1/21,South Carolina,4204953,2405257,57.2,2307087,54.9,98170,4.1
9/1/21,South Dakota,686024,471059,68.7,457599,66.7,13460,2.9
9/1/21,Tennessee,5509190,3322354,60.3,3175467,57.6,146887,4.4
9/1/21,Texas,22705104,14166005,62.4,13369025,58.9,796980,5.6
9/1/21,Utah,2459793,1670056,67.9,1629945,66.3,40111,2.4
9/1/21,Vermont,519118,318222,61.3,309151,59.6,9071,2.9
9/1/21,Virginia,6758326,4244196,62.8,4084410,60.4,159786,3.8
9/1/21,Washington,6181559,3936942,63.7,3742966,60.6,193976,4.9
9/1/21,West Virginia,1435988,791797,55.1,755769,52.6,36028,4.6
9/1/21,Wisconsin,4677059,3114389,66.6,2993017,64,121372,3.9
9/1/21,Wyoming,458391,293654,64.1,280427,61.2,13227,4.5
