Eligibility End Date,Province/Territory,Number of Applications,Total Gross Amount ($000)
Mar-21,Prince Edward Island,2830,2830
Mar-21,Nova Scotia,22270,22270
Mar-21,New Brunswick,15450,15450
Mar-21,Quebec,183300,183300
Mar-21,Ontario,543260,543260
Mar-21,Manitoba,30880,30880
Mar-21,Saskatchewan,29180,29180
Mar-21,Alberta,149030,149030
Mar-21,British Columbia,147780,147780
Mar-21,Yukon,1050,1050
Mar-21,Northwest Territories,1450,1450
Mar-21,Nunavut,870,870
Mar-21,Outside Canada,310,310
Apr-21,Newfoundland and Labrador,11960,11960
Apr-21,Prince Edward Island,2790,2790
Apr-21,Nova Scotia,22890,22890
Apr-21,New Brunswick,15540,15540
Apr-21,Quebec,185660,185660
Apr-21,Ontario,564060,564060
Apr-21,Manitoba,30990,30990
Apr-21,Saskatchewan,29510,29510
Apr-21,Alberta,150270,150270
Apr-21,British Columbia,150780,150780
Apr-21,Yukon,1060,1060
Apr-21,Northwest Territories,1480,1480
Apr-21,Nunavut,950,950
Apr-21,Outside Canada,280,280
Apr-21,Newfoundland and Labrador,11770,11770
Apr-21,Prince Edward Island,2770,2770
Apr-21,Nova Scotia,24720,24720
Apr-21,New Brunswick,15350,15350
Apr-21,Quebec,184520,184520
Apr-21,Ontario,573410,573410
Apr-21,Manitoba,31230,31230
Apr-21,Saskatchewan,29320,29320
Apr-21,Alberta,152020,152020
Apr-21,British Columbia,150460,150460
Apr-21,Yukon,1050,1050
Apr-21,Northwest Territories,1500,1500
Apr-21,Nunavut,980,980
Apr-21,Outside Canada,260,260
May-21,Newfoundland and Labrador,11350,11350
May-21,Prince Edward Island,2680,2680
May-21,Nova Scotia,28380,28380
May-21,New Brunswick,15020,15020
May-21,Quebec,179820,179820
May-21,Ontario,567510,567510
May-21,Manitoba,31290,31290
May-21,Saskatchewan,28530,28530
May-21,Alberta,151220,151220
May-21,British Columbia,148230,148230
May-21,Yukon,1030,1030
May-21,Northwest Territories,1490,1490
May-21,Nunavut,960,960
May-21,Outside Canada,230,230
May-21,Newfoundland and Labrador,10710,10710
May-21,Prince Edward Island,2580,2580
May-21,Nova Scotia,27060,27060
May-21,New Brunswick,14190,14190
May-21,Quebec,165910,165910
May-21,Ontario,552260,552260
May-21,Manitoba,31420,31420
May-21,Saskatchewan,26790,26790
May-21,Alberta,148920,148920
