Key,date,Jurisdiction_Abbrev,Jurisdiction_Full,Country,Monthly_new_case,Monthly_new_death
44105New Brunswick,10/1/2020,NB,New Brunswick,Canada,143,4
44136New Brunswick,11/1/2020,NB,New Brunswick,Canada,158,1
44166New Brunswick,12/1/2020,NB,New Brunswick,Canada,98,2
44197New Brunswick,1/1/2021,NB,New Brunswick,Canada,657,9
44228New Brunswick,2/1/2021,NB,New Brunswick,Canada,174,9
44256New Brunswick,3/1/2021,NB,New Brunswick,Canada,183,3
44287New Brunswick,4/1/2021,NB,New Brunswick,Canada,302,6
44317New Brunswick,5/1/2021,NB,New Brunswick,Canada,295,7
44348New Brunswick,6/1/2021,NB,New Brunswick,Canada,122,2
44378New Brunswick,7/1/2021,NB,New Brunswick,Canada,33,1
44409New Brunswick,8/1/2021,NB,New Brunswick,Canada,398,0
44440New Brunswick,9/1/2021,NB,New Brunswick,Canada,1424,13
44470New Brunswick,10/1/2021,NB,New Brunswick,Canada,2258,58
44501New Brunswick,11/1/2021,NB,New Brunswick,Canada,977,5
43891Quebec,3/1/2020,QC,Quebec,Canada,4162,31
43922Quebec,4/1/2020,QC,Quebec,Canada,23376,1828
43952Quebec,5/1/2020,QC,Quebec,Canada,23521,2782
43983Quebec,6/1/2020,QC,Quebec,Canada,4399,862
44013Quebec,7/1/2020,QC,Quebec,Canada,3854,171
44044Quebec,8/1/2020,QC,Quebec,Canada,3180,86
44075Quebec,9/1/2020,QC,Quebec,Canada,11796,74
44105Quebec,10/1/2020,QC,Quebec,Canada,31728,412
44136Quebec,11/1/2020,QC,Quebec,Canada,36355,810
44166Quebec,12/1/2020,QC,Quebec,Canada,60270,1170
44197Quebec,1/1/2021,QC,Quebec,Canada,59942,1568
44228Quebec,2/1/2021,QC,Quebec,Canada,25157,599
44256Quebec,3/1/2021,QC,Quebec,Canada,23351,274
44287Quebec,4/1/2021,QC,Quebec,Canada,38682,259
44317Quebec,5/1/2021,QC,Quebec,Canada,20546,202
44348Quebec,6/1/2021,QC,Quebec,Canada,4538,82
44378Quebec,7/1/2021,QC,Quebec,Canada,2440,30
44409Quebec,8/1/2021,QC,Quebec,Canada,11927,46
44440Quebec,9/1/2021,QC,Quebec,Canada,20956,85
44470Quebec,10/1/2021,QC,Quebec,Canada,15780,123
44501Quebec,11/1/2021,QC,Quebec,Canada,10844,56
43831Ontario,1/1/2020,ON,Ontario,Canada,3,0
43862Ontario,2/1/2020,ON,Ontario,Canada,5,0
43891Ontario,3/1/2020,ON,Ontario,Canada,1958,33
43922Ontario,4/1/2020,ON,Ontario,Canada,14221,1054
43952Ontario,5/1/2020,ON,Ontario,Canada,11672,1189
43983Ontario,6/1/2020,ON,Ontario,Canada,7209,411
44013Ontario,7/1/2020,ON,Ontario,Canada,4141,108
44044Ontario,8/1/2020,ON,Ontario,Canada,3100,41
44075Ontario,9/1/2020,ON,Ontario,Canada,9401,42
44105Ontario,10/1/2020,ON,Ontario,Canada,24020,293
44136Ontario,11/1/2020,ON,Ontario,Canada,40762,525
44166Ontario,12/1/2020,ON,Ontario,Canada,65667,880
44197Ontario,1/1/2021,ON,Ontario,Canada,86052,1612
44228Ontario,2/1/2021,ON,Ontario,Canada,32605,792
44256Ontario,3/1/2021,ON,Ontario,Canada,49087,386
44287Ontario,4/1/2021,ON,Ontario,Canada,113461,684
44317Ontario,5/1/2021,ON,Ontario,Canada,68095,707
44348Ontario,6/1/2021,ON,Ontario,Canada,13438,411
44378Ontario,7/1/2021,ON,Ontario,Canada,5539,177
44409Ontario,8/1/2021,ON,Ontario,Canada,15114,158
44440Ontario,9/1/2021,ON,Ontario,Canada,20599,229
44470Ontario,10/1/2021,ON,Ontario,Canada,13806,139
44501Ontario,11/1/2021,ON,Ontario,Canada,9474,84
43891Manitoba,3/1/2020,MB,Manitoba,Canada,103,1
43922Manitoba,4/1/2020,MB,Manitoba,Canada,172,5
43952Manitoba,5/1/2020,MB,Manitoba,Canada,20,1
43983Manitoba,6/1/2020,MB,Manitoba,Canada,30,0
44013Manitoba,7/1/2020,MB,Manitoba,Canada,90,1
44044Manitoba,8/1/2020,MB,Manitoba,Canada,799,6
44075Manitoba,9/1/2020,MB,Manitoba,Canada,779,6
44105Manitoba,10/1/2020,MB,Manitoba,Canada,3730,47
44136Manitoba,11/1/2020,MB,Manitoba,Canada,11102,245
44166Manitoba,12/1/2020,MB,Manitoba,Canada,7875,355
44197Manitoba,1/1/2021,MB,Manitoba,Canada,4864,162
44228Manitoba,2/1/2021,MB,Manitoba,Canada,2295,66
44256Manitoba,3/1/2021,MB,Manitoba,Canada,2256,40
44287Manitoba,4/1/2021,MB,Manitoba,Canada,4607,39
44317Manitoba,5/1/2021,MB,Manitoba,Canada,12362,79
44348Manitoba,6/1/2021,MB,Manitoba,Canada,5083,87
44378Manitoba,7/1/2021,MB,Manitoba,Canada,1453,38
44409Manitoba,8/1/2021,MB,Manitoba,Canada,1090,11
44440Manitoba,9/1/2021,MB,Manitoba,Canada,1833,22
44470Manitoba,10/1/2021,MB,Manitoba,Canada,3049,36
44501Manitoba,11/1/2021,MB,Manitoba,Canada,2592,34
43891Saskatchewan,3/1/2020,SK,Saskatchewan,Canada,184,2
43922Saskatchewan,4/1/2020,SK,Saskatchewan,Canada,205,4
43952Saskatchewan,5/1/2020,SK,Saskatchewan,Canada,257,5
43983Saskatchewan,6/1/2020,SK,Saskatchewan,Canada,139,2
44013Saskatchewan,7/1/2020,SK,Saskatchewan,Canada,534,5
44044Saskatchewan,8/1/2020,SK,Saskatchewan,Canada,300,6
44075Saskatchewan,9/1/2020,SK,Saskatchewan,Canada,294,0
44105Saskatchewan,10/1/2020,SK,Saskatchewan,Canada,1231,1
44136Saskatchewan,11/1/2020,SK,Saskatchewan,Canada,5420,22
44166Saskatchewan,12/1/2020,SK,Saskatchewan,Canada,6785,108
44197Saskatchewan,1/1/2021,SK,Saskatchewan,Canada,8515,149
44228Saskatchewan,2/1/2021,SK,Saskatchewan,Canada,4783,81
44256Saskatchewan,3/1/2021,SK,Saskatchewan,Canada,4943,51
44287Saskatchewan,4/1/2021,SK,Saskatchewan,Canada,7508,55
44317Saskatchewan,5/1/2021,SK,Saskatchewan,Canada,5650,48
44348Saskatchewan,6/1/2021,SK,Saskatchewan,Canada,2106,29
44378Saskatchewan,7/1/2021,SK,Saskatchewan,Canada,1170,10
44409Saskatchewan,8/1/2021,SK,Saskatchewan,Canada,4343,25
44440Saskatchewan,9/1/2021,SK,Saskatchewan,Canada,12972,92
44470Saskatchewan,10/1/2021,SK,Saskatchewan,Canada,10325,156
44501Saskatchewan,11/1/2021,SK,Saskatchewan,Canada,2273,54
43891Alberta,3/1/2020,AB,Alberta,Canada,754,9
43922Alberta,4/1/2020,AB,Alberta,Canada,4601,80
43952Alberta,5/1/2020,AB,Alberta,Canada,1655,54
43983Alberta,6/1/2020,AB,Alberta,Canada,1098,11
44013Alberta,7/1/2020,AB,Alberta,Canada,2735,42
44044Alberta,8/1/2020,AB,Alberta,Canada,3059,43
44075Alberta,9/1/2020,AB,Alberta,Canada,4160,28
44105Alberta,10/1/2020,AB,Alberta,Canada,10183,56
